Coptic,English,File Path,Start Line,End Line
ⲱ ⲡⲙⲟⲛⲁⲭⲟⲥ ⲙⲡⲣⲛⲁϩⲧⲉ ⲉⲡⲉⲥⲭⲏⲙⲁ · ⲁⲗⲗⲁ ⲉⲓⲙⲉ ϫⲉⲕⲟ ⲛϣⲙⲙⲟ · ⲉⲛⲁⲧⲡⲉ · ⲁⲩⲱ ⲧⲉⲕⲯⲩⲭⲏ ⲟⲩⲟⲛϩ ⲉⲃⲟⲗ ϫⲉⲉⲥⲕⲏⲕⲁϩⲏⲩ ·,"O monk, put not thy confidence in thy garb, but know that thou art a stranger to the things of heaven, and that thy soul appeareth in a naked condition.",pseudo-ephrem/pseudo.ephrem_CONLLU/psephrem.asceticon.02.conllu,67,106
ⲁⲩⲱ ⲁϥϩⲟⲕϥ ⲛⲧⲥⲏϥⲉ ·,and (Horion) girded on the sword.,martyrdom-victor/martyrdom.victor_CONLLU/martyrdom.victor.08.conllu,1409,1419
ϥⲧⲟⲟⲧϥ ⲙⲉⲛ ⲙⲡⲉⲛⲟⲩⲣⲟⲧ ⲟⲩⲏⲛ · ⲁⲩⲱ ϥⲟⲩⲟϣⲥ ⲉⲃⲟⲗ ⲉϯϩⲟⲩⲉ ⲉⲡⲉⲧⲁⲣⲟⲛ ·,"Our willingness is manifest (or, open) and it giveth help, and it would pay more than we are liable to pay,",pseudo-chrysostom/pseudo.chrysostom_CONLLU/on_susanna.conllu,111,137
ⲛⲧⲉⲩⲛⲟⲩ ⲁⲓⲛⲏⲫⲉ ⲛⲧϩⲉ ⲛⲛⲉⲧϩⲁⲡⲏⲣⲡ ·,"and straightway I became of good cheer, even as those who are under [the influence of] wine.",life-onnophrius/life.onnophrius_CONLLU/life.onnophrius.04.conllu,1273,1292
ⲉϣϫⲉ ⲁⲕⲣⲛⲟⲃⲉ ϭⲉⲡⲏ ⲧⲁϩⲟⲕ ⲉⲣⲁⲧⲕ · ϣⲱⲡⲉ ⲉⲕⲟⲕⲙ · ⲁⲩⲱ ⲙⲁⲣⲉⲡⲉⲕϩⲏⲧ ⲟⲩⲱⲙ ⲛⲥⲱⲕ · ⲡⲱϩⲧ ⲛⲛⲉⲕⲣⲙⲉⲓⲟⲟⲩⲉ · ϩⲱⲱⲕ ·,"If thou hast committed sin, make haste, stand up on thy feet, be sorry, and let thy heart eat thee (in remorse), and pour out thy tears.",pseudo-chrysostom/pseudo.chrysostom_CONLLU/canaanite.conllu,1689,1727
ⲡϫⲟⲉⲓⲥ ϯⲙⲧⲟⲛ ⲛⲁϥ :—,"May the Lord give peace unto him,",pseudo-celestinus/pseudo.celestinus_CONLLU/pscelestinus.encomium.03.conllu,12295,12302
ϯⲛⲁϯⲗⲩⲡⲏ ⲁⲛ ⲙⲡⲁϩⲁⲓ ·,I will not give my husband occasion to grieve.,pseudo-chrysostom/pseudo.chrysostom_CONLLU/on_susanna.conllu,3395,3404
ⲕⲁⲧⲁⲟⲩⲟⲓⲕⲟⲛⲟⲙⲓⲁ ⲇⲉ ⲛⲧⲉ ⲡⲛⲟⲩⲧⲉ ⲡⲙⲁⲓⲣⲱⲙⲉ .. ϣⲱⲡⲉ ⲉⲧⲣⲉϥⲗⲟϭ ⲙⲡϣⲱⲛⲉ ⲙⲛⲛⲥⲁⲉⲧⲣⲉϥⲛⲁⲩ ..... ⲛⲟⲓ ϩⲙⲡⲉϥ ....,"According to the economy of God, the lover of man…it happened that he recovered from the illness, after He saw…in his…",AP/apophthegmata.patrum_CONLLU/AP.001.n135.mother.conllu,314,348
ⲉⲧⲃⲉⲟⲩ ϭⲉ ⲡⲉⲕϩⲏⲧ ⲉⲓⲟⲣⲙ ⲉⲃⲟⲗ ⲛⲧⲉⲓϩⲉ,Why hath thine heart turned its gaze aside in this manner ?,martyrdom-victor/martyrdom.victor_CONLLU/martyrdom.victor.02.conllu,2313,2325
ⲛⲧⲟⲟⲩ ⲙⲛⲛⲉⲩⲁⲓⲱⲛ ⲧⲏⲣⲟⲩ ⲙⲛⲛⲉⲩⲧⲟⲡⲟⲥ ⲧⲏⲣⲟⲩ ⲁⲩⲱ ⲙⲛⲛⲉⲩⲧⲁϫⲓⲥ ⲧⲏⲣⲟⲩ ⲁⲩⲱ ⲁⲡⲕⲁϩ ⲧⲏⲣϥ ⲕⲓⲙ ⲙⲛⲛⲉⲧⲟⲩⲏϩ ϩⲓϫⲱϥ ⲧⲏⲣⲟⲩ .,they with all their Aeons with all their Places and with all their arrays; and all the earth was moved with all those who dwell upon it.,pistis-sophia/pistis.sophia_CONLLU/pistis.sophia_book_1_part1.conllu,2339,2382
ⲛⲧⲁϥⲧⲁⲩⲟϥ ⲇⲉ ⲉⲡϣⲟⲩϣⲟⲩ ⲛⲙⲙⲁⲣⲧⲩⲣⲟⲥ · ⲁⲩⲱ ⲡϥⲁⲓⲕⲗⲟⲙ ⲛⲁⲙⲉ ⲙⲡⲉⲭⲣⲓⲥⲧⲟⲥ · ⲡⲡⲁⲣⲑⲉⲛⲟⲥ ⲉⲧⲟⲩⲁⲁⲃ · ⲡϩⲁⲅⲓⲟⲥ ⲃⲓⲕⲧⲱⲣ ⲡⲉⲥⲧⲣⲁⲧⲏⲗⲁⲧⲏⲥ,"IN HONOUR OF THE MARTYR AND TRUE CROWN-BEARER IN THE CHRIST, THE HOLY VIRGIN, SAINT VICTOR THE GENERAL.",pseudo-celestinus/pseudo.celestinus_CONLLU/pscelestinus.encomium.01.conllu,44,83
ⲛⲁⲓ ϭⲉ ⲧⲏⲣⲟⲩ ⲛⲧⲉⲟⲩⲛⲟⲩ ⲛⲟⲩⲱⲧ ϥⲟⲧⲟⲩ ⲉⲃⲟⲗ · ⲁⲩⲱ ⲛⲥⲉⲧⲁⲕⲟ ·,"—when I say, all these things shall be blotted out in a single moment, and shall be destroyed!",pseudo-basil/pseudo.basil_CONLLU/pseudo.basil.temple.conllu,2409,2431
ⲁϥⲟⲩⲱϣⲃ ϫⲉⲟⲩⲛϭⲟⲙ ⲛϩⲱⲃ ⲛⲓⲙ ⲙⲡⲉⲧⲡⲓⲥⲧⲉⲩⲉ ⲙⲁⲗⲓⲥⲧⲁ ϣⲁⲣⲉⲙⲙⲟⲟⲩ ⲙⲡⲉⲑⲩⲥⲓⲁⲥⲧⲏⲣⲓⲟⲛ ⲧⲁⲗϭⲟ ⲛⲟⲩⲟⲛ ⲛⲓⲙ · ⲉⲧⲡⲓⲥⲧⲉⲩⲉ,"And Apa Pisentius answered, saying, 'Everything is possible to him that believeth; and assuredly the water which is in the chamber of the altar of sacrifice healeth every one who believeth.",life-pisentius/life.pisentius_CONLLU/life.pisentius.03.conllu,3263,3297
ϫⲉⲁⲙⲟⲩ ⲉϩⲟⲩⲛ ⲡⲁϫⲟⲉⲓⲥ ⲛⲥⲟⲛ · ⲁⲩⲱ ⲡⲣⲱⲙⲉ ⲉⲧⲛⲁⲛⲟⲩϥ · ϫⲉⲉⲓⲟ ⲛⲧϩⲉ ϩⲱⲥ ⲛⲧⲁⲓⲛⲁⲩ ⲉⲓⲏⲥⲟⲩⲥ ⲙⲡϩⲟⲟⲩ ·,"Come inside, O my lord brother, Thou good man; it seemeth to me as if I had seen Jesus this day.",martyrdom-victor/martyrdom.victor_CONLLU/martyrdom.victor.06.conllu,439,481
ⲁⲩⲱ ⲛⲧⲉⲩⲛⲟⲩ ⲁⲡⲉϥⲥⲱⲃⲁϩ ⲗⲟ ϩⲓⲱⲱϥ ⲁϥⲧⲃⲃⲟ .,"When he had said this, immediately the leprosy departed from him, and he was made clean.",coptic-treebank/coptic.treebank_CONLLU/Mark_01.conllu,1626,1643
ⲁϣ ⲡⲉ ⲡⲥⲟⲗⲥⲗ ⲉⲧⲛⲁϣⲱⲡⲉ ⲙⲡⲣⲱⲙⲉ ⲉⲧⲛⲁⲙⲟⲩ ϩⲣⲁⲓ ϩⲛⲛⲉϥⲛⲟⲃⲉ · ⲛⲥⲁϩⲓⲥⲉ ϩⲓⲙⲕⲁϩ ⲛϩⲏⲧ ⲙⲡⲁⲓ ⲙⲁ ⲙⲛⲡⲕⲉⲙⲁ⁛—,"What comfort (or, consolation) shall there be to the man who shall die in his sins? There is nothing for him except suffering and sorrow in this world and in the next,",pseudo-celestinus/pseudo.celestinus_CONLLU/pscelestinus.encomium.03.conllu,2248,2288
ⲡⲉϫⲁϥ ⲛⲁⲓ ϫⲉⲧⲱⲟⲩⲛ ⲡⲁⲥⲟⲛ ⲛⲅⲟⲩⲱⲙ · ⲁⲩⲱ ⲛⲅⲥⲱ ⲙⲡⲉⲓⲕⲟⲩⲓ ⲙⲙⲟⲟⲩ · ϫⲉϯⲛⲁⲩ ⲉⲣⲟⲕ ϫⲉⲉⲕⲕⲓⲛⲇⲩⲛⲉⲩⲉ · ϩⲁⲡⲉϩⲕⲟ · ⲙⲛⲡⲉⲓⲃⲉ ⲙⲛⲡϩⲓⲥⲉ ⲛⲛⲉϩⲓⲟⲟⲩⲉ ·,"And he said unto me, ``Rise up, my brother, and eat, and drink this small quantity of water, for I see that thou art exhausted by hunger and thirst, and by the toil of the road.''",life-onnophrius/life.onnophrius_CONLLU/life.onnophrius.03.conllu,109,169
ⲧϩⲓⲕⲱⲛ ⲡⲉ ⲉⲃⲟⲗ ϫⲉⲟⲩϩⲟⲙⲟⲟⲩⲥⲓⲟⲥ ⲡⲉ ⲙⲛⲡⲉⲛⲧⲁϥϫⲡⲟϥ ⲁϫⲛϣⲓⲃⲉ ·,"He is the Image (of Him), therefore is He the same Substance, and He it is Whom the Father hath begotten without change.",proclus-homilies/proclus.homilies_CONLLU/proclus.23.nativity.conllu,2336,2357
ⲁⲩⲱ ⲉⲣⲉⲛⲉϥϣⲏⲣⲉ ϩⲕⲁⲉⲓⲧ ⲉⲩⲕⲏⲕⲁϩⲏⲩ · ⲉⲣⲉⲧⲉϥⲥϩⲓⲙⲉ ⲣϭⲣⲱϩ ⲉⲥⲑⲙⲕⲏⲩ ϩⲁⲡϩⲓⲥⲉ · ⲁⲩⲱ ⲉⲩⲥⲁϩⲟⲩ ⲛⲛⲉⲩⲉⲣⲏⲩ ·,"And thou wilt find his son hungry and naked, and his wife sick and afilicted with the suffering of infirmity, and thou wilt find them quarrelling and cursing each other,",pseudo-celestinus/pseudo.celestinus_CONLLU/pscelestinus.encomium.03.conllu,1756,1790
ⲁⲥϣⲱⲡⲉ ⲇⲉ ⲛⲧⲉⲣⲟⲩⲟⲩⲱ ⲉⲩϣⲗⲏⲗ · ⲁϥϯⲡⲉϥⲟⲩⲟⲓ ⲁϥⲁⲥⲡⲁⲍⲉ ⲛⲓⲏⲥⲟⲩⲥ · ⲛⲉϥⲥⲟⲟⲩⲛ ⲁⲛ ϫⲉⲛⲓⲙ ⲡⲉ · ⲁⲡⲁ ⲃⲓⲕⲧⲱⲣ ⲇⲉ ⲡⲉϫⲁϥ ⲛⲁϥ ·,And it came to pass that when they had finished praying Apa Victor went forward and saluted Jesus — now he knew not who lie was — and he said unto Him,martyrdom-victor/martyrdom.victor_CONLLU/martyrdom.victor.06.conllu,766,813
ⲉⲛⲟ ⲛⲁⲧⲥⲱⲧⲙ · ⲉⲛⲡⲗⲁⲛⲁ ·,As we become disobedient and stray. (Titus 3:3),besa-letters/besa.letters_CONLLU/exhortations.conllu,74,86
ⲡⲉϫⲁⲓ ⲛⲁϥ ϫⲉⲡⲁϫⲟⲉⲓⲥ ⲟⲩ ⲡⲉⲡⲧⲱϣ ⲛⲛⲉⲓⲟⲩⲛⲟⲟⲩⲉ ⲛⲧⲉⲩϣⲏ ⲙⲛⲡⲉϩⲟⲟⲩ ·,"And I said unto him, 'My Lord, what is the ordinance concerning the hours of the night and day?'",mysteries-john/mysteries.john_CONLLU/mysteries.john.02.conllu,3009,3035
ⲛⲧⲉⲣϥⲛⲁⲩ ⲇⲉ ⲉⲣⲟϥ ⲛϭⲓⲡⲉⲧⲣⲟⲉⲓⲥ ⲉⲡⲣⲟ · ⲁϥϯⲧⲱⲛ ⲛⲙⲙⲁϥ ⲉϥϫⲱ ⲙⲙⲟⲥ · ϫⲉⲙⲟⲟϣⲉ ⲉⲃⲟⲗ ϩⲙⲡⲉⲓⲙⲁ · ⲱ ⲡⲣⲱⲙⲉ · ⲉⲧⲃⲉⲧⲁϫⲟⲉⲓⲥ ϫⲉⲛⲛⲉⲥⲛⲁⲩ ⲉⲣⲟⲕ · ⲛⲉⲥⲁⲡⲩⲗⲏ ⲉⲣⲟⲓ ⲉⲧⲃⲏⲏⲧⲕ ⁛—,"And when the keeper at the door saw him he disputed with him, saying, ' Go away from this place, O man, because of my mistress, for she must not see thee or she will turn back because of thee.'",life-john-kalybites/life.john.kalybites_CONLLU/life.john_kal.02.conllu,2660,2730
ⲛⲧⲁⲓⲛⲙⲛⲧⲥⲛⲟⲟⲩⲥ ⲛⲥⲱⲧⲏⲣ ⲙⲡⲉⲑⲏⲥⲁⲩⲣⲟⲥ ⲙⲡⲟⲩⲟⲉⲓⲛ ⲉⲁⲓϫⲓⲧⲟⲩ ⲉⲃⲟⲗ ϩⲙⲡⲙⲉⲣⲟⲥ ⲛⲧⲁϭⲟⲙ ⲧⲉⲛⲧⲁⲩϫⲓⲧⲥ ⲛϣⲟⲣⲡ ·,"I brought twelve powers of 12 Saviours to the Treasury of the Light, which I took out of the part of my power, that which I took at first.",pistis-sophia/pistis.sophia_CONLLU/pistis.sophia_book_1_part1.conllu,4761,4803
▢ ⲡⲉϫⲉⲡⲉⲭⲉⲓⲣⲟⲩⲃⲉⲓⲛ ⲛⲁⲓ ϫⲉⲟⲩⲛϫⲟⲩⲧⲁϥⲧⲉ ⲛⲁⲅⲅⲉⲗⲟⲥ ⲧⲏϣ ⲉⲡⲡⲁⲣⲁⲇⲓⲥⲟⲥ ⲙⲙⲏⲛⲉ ·,"Then the Cherubim said unto me, 'Four and twenty angels are appointed to Paradise daily,",mysteries-john/mysteries.john_CONLLU/mysteries.john.02.conllu,645,669
ⲡⲁⲓ ⲉⲧⲛⲁⲧⲁϫⲣⲉⲧⲏⲩⲧⲛ ⲉⲧⲉⲧⲛϫⲏⲕ ⲉⲃⲟⲗ ⲉⲙⲛⲛⲟⲃⲉ ϫⲓ ⲉϩⲟⲩⲛ ⲉⲣⲱⲧⲛ ϣⲁⲡⲉϩⲟⲟⲩ ⲙⲡⲉⲛϫⲟⲉⲓⲥ ⲓⲏⲥⲟⲩⲥ ⲡⲉⲭⲣⲓⲥⲧⲟⲥ .,"who will also confirm you until the end, blameless in the day of our Lord Jesus Christ.",coptic-treebank/coptic.treebank_CONLLU/1Cor_01.conllu,264,296
ϫⲉⲛⲧⲟⲕ ⲁⲕⲥⲙⲥⲛⲧⲉ ⲙⲕⲁϩ ·,You established the foundations of the earth.,abraham/shenoute.abraham_CONLLU/YA535-540.conllu,1732,1742
ⲡⲉϫⲉⲓⲱϩⲁⲛⲛⲏⲥ ⲛⲁϥ ϫⲉϯⲧⲁⲣⲕⲟ ⲙⲙⲟⲕ ⲡⲁⲉⲓⲱⲧ ⲉⲧⲟⲩⲁⲁⲃ ⲛⲧⲉⲧⲣⲓⲁⲥ ⲉⲧⲟⲩⲁⲁⲃ ⲛϩⲟⲙⲟⲟⲩⲥⲓⲟⲛ ⲙⲛⲛⲉϣⲗⲏⲗ ⲙⲡⲙⲟⲛⲁⲥⲧⲏⲣⲓⲟⲛ ⲉⲕⲉϣⲃϫⲱⲓ ⲙⲡϩⲟⲟⲩ · ⲉⲡⲉⲓⲇⲏ ⲡⲛⲟⲩⲧⲉ ⲡⲉⲧⲥⲟⲟⲩⲛ ϫⲉⲡⲁϩⲏⲧ ⲙⲟⲕϩ ⲉϩⲟⲩⲛ ⲉⲧⲙⲛⲧⲙⲟⲛⲁⲭⲟⲥ ⲙⲛⲡⲉⲥⲭⲏⲙⲁ ⲛⲁⲅⲅⲉⲗⲓⲕⲟⲛ ·,"And John said unto him, 'I adjure thee, O my holy father, by the Holy and Consubstantial Trinity, and by the prayers of the monastery, that thou shave my head this day, and especially, as God knoweth, my heart burneth with desire for the life of the monk, and for the garb of the angels.'",coptic-treebank/coptic.treebank_CONLLU/life.john_kal.01.conllu,5044,5116
ⲁⲡⲛⲟⲩⲧⲉ ⲡⲁⲧⲁⲥⲥⲉⲓ ⲙⲙⲟⲟⲩ ϩⲛⲧⲉⲩⲥⲏϥⲉ ⲙⲙⲓⲛⲙⲙⲟⲟⲩ ·,hath God destroyed with their own swords.,pseudo-celestinus/pseudo.celestinus_CONLLU/pscelestinus.encomium.02.conllu,4904,4919
"ⲁϥⲉⲓ ⲇⲉ ⲛϭⲓⲡⲉⲧⲇⲓⲁⲕⲟⲛⲉⲓ ⲛⲁⲓ ⲉϥϫⲱ ⲙⲙⲟⲥ ,","My servant came to me, saying,",AP/apophthegmata.patrum_CONLLU/AP.101.macarius.01.conllu,535,555
ⲥⲱⲧⲙ ϭⲉ ⲛⲁⲥⲛⲏⲩ ⲛⲁⲙⲉⲣⲁⲁⲧⲉ ·,"Hearken now unto me, O my brethren, my beloved.",pseudo-ephrem/pseudo.ephrem_CONLLU/psephrem.asceticon.02.conllu,2474,2482
ϥⲛⲏⲩ ⲛϭⲓⲡϫⲟⲉⲓⲥ ⲙⲡϩⲙϩⲁⲗ ⲉⲧⲙⲙⲁⲩ ϩⲣⲁⲓ ϩⲛⲟⲩϩⲟⲟⲩ ⲉϥⲥⲟⲟⲩⲛ ⲙⲙⲟϥ ⲁⲛ · ⲁⲩⲱ ϩⲛⲟⲩⲟⲩⲛⲟⲩ ⲉⲛϥϭⲱϣⲧ ϩⲏⲧⲥ ⲁⲛ · ⲛϥⲡⲁϩϥ ϩⲛⲧⲉϥⲙⲏⲧⲉ ⲛϥⲕⲱ ⲛⲧⲉϥⲧⲟ ⲙⲛⲛⲁⲡⲓⲥⲧⲟⲥ ·,"And the master of that wicked servant shall come on a day which he knoweth not, and in an hour wherein he expecteth him not. And he shall cut him asunder, and shall set his portion with [the portions of] the unbelieving ones.'",john-constantinople/john.constantinople_CONLLU/penitence.01.conllu,3894,3957
ⲉϣⲱⲡⲉ ⲙⲡⲉⲧⲥⲁⲗⲡⲓⲅⲝ ⲙⲟⲩⲧⲉ ϣⲁⲣⲉⲟⲩⲥⲙⲏ ⲉⲥⲛⲁϣⲧ ⲉⲓ ⲉⲃⲟⲗ ϩⲛⲧⲡⲉ ⲛⲧⲉⲡⲙⲟⲩⲛϩⲱⲟⲩ ⲉⲓ ⲉϫⲛⲡⲕⲁϩ ⲉϥⲟϣ ⲛϥⲧⲣⲉⲛⲕⲁⲣⲡⲟⲥ ⲁϣⲁⲓ ⲙⲛⲙⲙⲟⲟⲩ ⲙⲙⲟⲩⲛϩⲱⲟⲩ ·,"If the trumpet doth not sound, a harsh, strong noise cometh forth from heaven, and thereupon the waters of rain come upon the earth in great quantities, which make the fruits grow, and rain-storms,",mysteries-john/mysteries.john_CONLLU/mysteries.john.02.conllu,2537,2588
ⲛⲧⲉⲣⲉϥⲃⲱⲕ ⲇⲉ ⲉϩⲟⲩⲛ ⲉⲕⲁⲫⲁⲣⲛⲁⲟⲩⲙ ϩⲓϫⲛ ϩⲉⲛϩⲟⲟⲩ ⲁⲩⲥⲱⲧⲙ ϫⲉϥϩⲛⲟⲩⲏⲓ,"When he entered again into Capernaum after some days, it was heard that he was in the house.",coptic-treebank/coptic.treebank_CONLLU/Mark_02.conllu,5,27
ⲁⲣⲓⲡⲙⲉⲉⲩⲉ ⲛⲟⲩⲟⲉⲓϣ ⲛⲓⲙ ⲛⲧϩⲟⲙⲟⲗⲟⲅⲓⲁ ⲙⲡⲉⲭⲣⲓⲥⲧⲟⲥ ⲉⲧⲛⲁⲛⲟⲩⲥ ⲉⲅϫⲓ ⲉϩⲟⲩⲛ ⲉⲡⲉⲕϩⲏⲧ ⲙⲡⲣⲡⲙⲉⲉⲩⲉ ⲙⲡϩⲁⲉ ⲛϩⲟⲟⲩ · ⲛⲅⲁⲥⲫⲁⲗⲓⲍⲉ ⲙⲙⲟⲕ ⲛⲥⲁ ⲛⲓⲙ · ⲙⲁⲗⲓⲥⲧⲁ ⲡⲉⲕⲗⲁⲥ ·,"Remember thou at all times the good confession of Christ which hath entered into thy heart. Remember thou the last day. Make thou thyself secure on every side, especially in the matter of thy tongue,",john-constantinople/john.constantinople_CONLLU/penitence.02.conllu,3247,3304
ⲉⲧⲃⲉⲡⲁⲓ ⲁϥϩⲩⲡⲟⲙⲓⲛⲉ ⲉⲡⲉϫⲡⲟ ⲛⲛⲣⲱⲙⲉ ⲉϣⲁⲩⲙⲟⲩ · ⲉⲛⲧⲟϥ ⲡⲉ ⲡⲛⲟⲩⲧⲉ ⲡⲁⲧⲙⲟⲩ ⲙⲁⲩⲁⲁϥ ·,"For this reason he endured patiently and was made after the manner of men who die, (though) He is the God Who alone dieth not.",pseudo-athanasius-discourses/pseudo.athanasius.discourses_CONLLU/soul_body.conllu,5406,5438
