Coptic,English,File Path,Start Line,End Line
ⲁⲩⲧⲱⲃⲥ ϣⲱⲡⲉ ⲛⲁϥ ⲛⲧⲉⲓϭⲟⲧ . ϩⲱⲥⲧⲉ ⲉⲧⲣⲉⲟⲩⲙⲏⲏϣⲉ ⲡⲁⲣⲁⲕⲁⲗⲉⲓ ⲙⲙⲟϥ ⲉⲧⲣⲉϥϯⲙⲧⲟⲛ ⲛⲁϥ ⲛⲟⲩⲕⲟⲩⲓ ϫⲉⲛⲛⲉϥϣⲱϭⲉ ϩⲓⲧⲙⲡⲁϣⲁⲓ ⲙⲡⲣⲓⲙⲉ .,His being was pricked such that a multitude exhorted him to rest himself a little lest he should be overcome by so much crying.,AP/apophthegmata.patrum_CONLLU/AP.001.n135.mother.conllu,424,472
ⲛⲧⲟϥ ⲇⲉ ⲙⲡⲉϥⲟⲩⲱϣ ⲉⲥⲗⲥⲱⲗϥ ⲉϥϫⲱ ⲙⲙⲟⲥ . ϫⲉⲉϣϫⲉ ⲙⲡⲓϣϭⲙϭⲟⲙ ⲉⲧⲱⲟⲩⲛ ϩⲁⲡⲛⲟϭⲛⲉϭ ⲛⲧⲁⲙⲁⲁⲩ . ⲛⲁϣ ⲛϩⲉ ⲉⲓⲛⲁϣⲧⲱⲟⲩⲛ ϩⲁⲡϣⲓⲡⲉ ⲙⲡⲉϩⲟⲟⲩ ⲛⲧⲉⲕⲣⲓⲥⲓⲥ ϩⲓⲧϩⲏ ⲙⲡⲉⲭⲣⲓⲥⲧⲟⲥ ⲙⲛⲛⲉϥⲁⲅⲅⲉⲗⲟⲥ ⲧⲏⲣⲟⲩ .,"But he did not wish to console himself, saying, “ If I have not been able to bear the reproach of my mother, how will I be able to bear the shame on the Day of Judgment in the presence of Christ and all his angels?”",AP/apophthegmata.patrum_CONLLU/AP.001.n135.mother.conllu,477,554
ⲁϥϫⲟⲟⲥ ⲛϭⲓⲟⲩϩⲗⲗⲟ ϫⲉⲉⲛⲉϣⲁⲣⲉⲛⲉⲯⲩⲭⲟⲟⲩⲉ ⲛⲛⲣⲱⲙⲉ ⲉϣⲉⲓ ⲉⲃⲟⲗ ⲡⲉ ϩⲛⲧϩⲟⲧⲉ ⲙⲛⲛⲥⲁⲧⲁⲛⲁⲥⲧⲁⲥⲓⲥ ϩⲛⲧⲡⲁⲣⲟⲩⲥⲓⲁ ⲙⲡⲛⲟⲩⲧⲉ ⲛⲉⲣⲉⲡⲕⲟⲥⲙⲟⲥ ⲡⲉ ⲛⲁⲙⲟⲩ ⲛⲛⲉϩϣⲗϥ . ϩⲓⲥⲧⲱⲧ . .,"An old man said, ‘If the souls of men were to go come in fear after the resurrection, in the presence of God, the world would die of fear and trembling.",AP/apophthegmata.patrum_CONLLU/AP.002.n136.account.conllu,5,61
ⲟⲩ ⲅⲁⲣ ⲡⲉ ⲛⲁⲩ ⲉⲙⲡⲏⲩⲉ ⲉⲩⲛⲁⲡⲱϩ . ⲁⲩⲱ ⲡⲛⲟⲩⲧⲉ ⲉϥⲟⲩⲱⲛϩ ⲙⲙⲟϥ ⲉⲃⲟⲗ ϩⲛⲟⲩⲟⲣⲅⲏ . ⲙⲛⲟⲩⲁⲡⲉⲓⲗⲏ,"For, what would it be like to see the heavens opening, and God revealing himself in anger and threat",AP/apophthegmata.patrum_CONLLU/AP.002.n136.account.conllu,66,100
..... ⲙⲏⲏϣⲉ ⲛⲧⲁⲅⲙⲁ ⲛⲁⲅⲅⲉⲗⲟⲥ ⲉⲙⲛⲏⲡ .....,"... an army of angels, being without number ...",AP/apophthegmata.patrum_CONLLU/AP.002.n136.account.conllu,105,117
ⲉⲧⲣⲉⲧⲙⲛⲧⲣⲱⲙⲉ ⲧⲏⲣⲥ ⲛⲁⲩ ⲉⲛⲁⲓϩⲓⲟⲩⲥⲟⲡ,to cause all of mankind to see these together.,AP/apophthegmata.patrum_CONLLU/AP.002.n136.account.conllu,122,136
ⲉⲧⲃⲉ ⲡⲁⲓ ϣϣⲉ ⲉⲣⲟⲛ ⲉⲙⲉⲉⲩⲉ ⲛⲧⲉⲓϩⲉ ϩⲱⲥ ⲉⲛⲛⲁϯⲗⲟⲅⲟⲥ ⲙⲡⲛⲟⲩⲧⲉ ⲙⲙⲏⲛⲉ . ϫⲉⲉⲩⲛⲁϣⲁⲧⲛ ϩⲁⲛⲉⲛⲧⲁⲛⲁⲁⲩ ϩⲛⲧⲉⲛϭⲓⲛⲱⲛⲁϩ .,"Because of this, it is right for us to think in this way, if we shall give an account to God daily, that we shall be cut off because of what we have done in our daily lives.'",AP/apophthegmata.patrum_CONLLU/AP.002.n136.account.conllu,141,187
ⲁϥϫⲟⲟⲥ ⲛϭⲓⲁⲡⲁ ⲡⲟⲓⲙⲏⲛ . ϫⲉⲁⲟⲩⲥⲟⲛ ϫⲟⲟⲥ ⲛⲁⲡⲁ ⲡⲁⲏⲥⲉ . ϫⲉⲉⲓⲛⲁⲣⲟⲩ ⲙⲡⲁϩⲏⲧ ⲉϥⲛⲁϣⲧ .,"Abba Poemen said, a brother said to Abba Païse, 'what should I do about my hard heart?",AP/apophthegmata.patrum_CONLLU/AP.004.poemen.65.conllu,5,43
ⲛϯⲣϩⲟⲧⲉ ⲁⲛ ⲛϩⲏⲧϥ ⲙⲡⲛⲟⲩⲧⲉ .,I do not fear God.',AP/apophthegmata.patrum_CONLLU/AP.004.poemen.65.conllu,48,60
ⲡⲉϫⲁϥ ⲛⲁϥ ϫⲉⲃⲱⲕ ⲛⲅⲧⲟϭⲕ ⲉⲩⲥⲟⲛ ⲉϥⲣϩⲟⲧⲉ ⲛϩⲏⲧϥ ⲙⲡⲛⲟⲩⲧⲉ,"He said to him, 'go and cleave to a brother who fears God.",AP/apophthegmata.patrum_CONLLU/AP.004.poemen.65.conllu,65,93
ⲁⲩⲱ ⲉⲃⲟⲗ ϩⲛⲧⲙⲛⲧⲣⲉϥⲣϩⲟⲧⲉ ⲙⲡⲉⲧⲙⲙⲁⲩ ⲕⲛⲁⲣϩⲟⲧⲉ ϩⲱⲱⲕ ⲛϩⲏⲧϥ ⲙⲡⲛⲟⲩⲧⲉ .,And through the fear (of God) of that brother you will learn fear of God yourself.',AP/apophthegmata.patrum_CONLLU/AP.004.poemen.65.conllu,98,123
ⲁⲟⲩϩⲗⲗⲟ ⲛⲁⲩ ⲉⲟⲩⲁ ⲉϥⲥⲱⲃⲉ,An old man saw someone laughing.,AP/apophthegmata.patrum_CONLLU/AP.007.n139.laughing.conllu,5,16
ⲡⲉϫⲁϥ .,"He said,",AP/apophthegmata.patrum_CONLLU/AP.007.n139.laughing.conllu,21,24
ⲛⲛⲉⲓⲁ ⲛⲧⲟⲟⲩ ⲟⲩⲧⲉⲓϩⲉ ϩⲱⲱϥ ⲡⲉ ⲡⲙⲟⲛⲁⲭⲟⲥ ⲛⲥⲱⲧⲡ ϩⲛⲙⲙⲉⲉⲩⲉ ⲛⲧⲉⲡⲓⲑⲩⲙⲓⲁ ·,"for wild donkeys, so it is also for the chosen monk by thoughts of lust.",AP/apophthegmata.patrum_CONLLU/AP.008.hyperechius.01.conllu,5,34
ⲁϥϫⲟⲟⲥ ⲟⲛ ϫⲉⲧⲛⲏⲥⲧⲉⲓⲁ ⲡⲉ ⲡⲉⲭⲁⲗⲓⲛⲟⲥ ⲙⲡⲙⲟⲛⲁⲭⲟⲥ ⲉϥϯⲟⲩⲃⲉ ⲡⲛⲟⲃⲉ ·,"Again, he said, ‟Fasting is the bridle of the monk resisting in.",AP/apophthegmata.patrum_CONLLU/AP.009.hyperechius.02.conllu,5,31
ⲡⲉⲧⲛⲟⲩϫⲉ ⲛⲧⲁⲓ ⲥⲁⲃⲟⲗ ⲙⲙⲟϥ .  ⲟⲩϩⲧⲟ ⲛⲗⲁⲃⲥϩⲓⲙⲉ ⲡⲉ ·,The one who casts this away from himself is like a lustful horse.”,AP/apophthegmata.patrum_CONLLU/AP.009.hyperechius.02.conllu,36,55
ⲁϥϫⲟⲟⲥ ⲟⲛ ϫⲉⲛⲁⲛⲟⲩ ⲟⲩⲉⲙⲁⲃ ⲁⲩⲱ ⲉⲥⲉⲏⲣⲡ ⲛⲅⲧⲙⲟⲩⲱⲙ · ⲇⲉ ⲛⲛⲥⲁⲣⲝ ⲛⲛⲉⲕⲥⲛⲏⲩ ϩⲓⲧⲛⲧⲕⲁⲧⲁⲗⲁⲗⲉⲓ ⲻ,"Again he said, “It is good to eat flesh and drink wine, but do not eat the flesh of your brothers through slander.”",AP/apophthegmata.patrum_CONLLU/AP.014.hyperechius.04.conllu,5,38
ⲁⲩϫⲓ ⲇⲉ ⲟⲛ ⲛⲟⲩⲥⲁⲓⲇⲓⲟⲛ ⲛⲏⲣⲡ ⲛⲁⲡⲁⲣⲭⲏ . ϫⲉⲉⲩⲉⲧⲁⲁϥ ⲛⲛⲉⲥⲛⲏⲩ ⲕⲁⲧⲁⲟⲩⲁⲡⲟⲧ ⲉⲡⲟⲩⲁ .,"And again, they brought a jar of new wine so they could give it to the brothers a cup each.",AP/apophthegmata.patrum_CONLLU/AP.017.n148.cellar.conllu,5,39
ⲁⲟⲩⲁ ⲇⲉ ⲛⲛⲉⲥⲛⲏⲩ ⲃⲱⲕ ⲉϩⲣⲁⲓ ⲉϫⲛⲧⲕⲩⲡⲏ .,But one of the brothers went up to the cellar.,AP/apophthegmata.patrum_CONLLU/AP.017.n148.cellar.conllu,44,58
ⲁϥⲡⲱⲧ ⲉⲃⲟⲗ ϩⲓϫⲱⲥ ⲁⲩⲱ ⲛ ⲁⲥϩⲉ ⲛϭⲓⲧⲕⲩⲡⲏ,He fled from it and suddenly the cellar fell.,AP/apophthegmata.patrum_CONLLU/AP.017.n148.cellar.conllu,63,80
ⲁⲩⲃⲱⲕ ⲇⲉ ⲉⲛⲁⲩ ⲉⲧⲃⲉ ⲡⲉϩⲣⲟⲟⲩ ⲛⲧⲁϥϣⲱⲡⲉ .,They went to see because of the noise that occurred.,AP/apophthegmata.patrum_CONLLU/AP.017.n148.cellar.conllu,85,102
ⲁⲩϩⲉ ⲉⲡⲥⲟⲛ ⲉϥⲛⲏϫ ϩⲓⲡⲉⲥⲏⲧ .,They found the brother laying down.,AP/apophthegmata.patrum_CONLLU/AP.017.n148.cellar.conllu,107,123
ⲁⲩϩⲓⲧⲟⲟⲧⲟⲩ ⲉⲥⲱϣ ⲙⲙⲟϥ ⲉⲩϫⲱ ⲙⲙⲟⲥ ϫⲉⲛⲧⲕ ⲟⲩⲙⲁⲓⲉⲟⲟⲩ ⲉϥϣⲟⲩⲉⲓⲧ .,"They began to scorn him, saying, “You are a lover of vain glory.",AP/apophthegmata.patrum_CONLLU/AP.017.n148.cellar.conllu,128,159
ⲕⲁⲗⲱⲥ ⲁⲡⲁⲓ ϣⲱⲡⲉ ⲙⲙⲟⲕ ⲻ,It is well that this happened to you.”,AP/apophthegmata.patrum_CONLLU/AP.017.n148.cellar.conllu,164,172
ⲁⲡϩⲗⲗⲟ ⲇⲉ ϣⲗⲙ ⲉⲣⲟϥ ⲉϥϫⲱ ⲙⲙⲟⲥ .,"The old man embraced him, saying,",AP/apophthegmata.patrum_CONLLU/AP.017.n148.cellar.conllu,177,193
ϫⲉⲁⲗⲱⲧⲛ ϩⲁⲡⲁϣⲏⲣⲉ,“Cease towards my son.,AP/apophthegmata.patrum_CONLLU/AP.017.n148.cellar.conllu,198,204
ⲟⲩϩⲱⲃ ⲅⲁⲣ ⲉⲛⲁⲛⲟⲩϥ ⲡⲉⲛⲧⲁϥⲁⲁϥ ·,For that which he did is good.,AP/apophthegmata.patrum_CONLLU/AP.017.n148.cellar.conllu,209,224
ϥⲟⲛϩ ⲛϭⲓⲡϫⲟⲉⲓⲥ ϫⲉⲛⲛⲉⲩⲕⲉⲧⲧⲉⲓⲕⲩⲡⲏ ϩⲙⲡⲁⲟⲩⲟⲉⲓϣ .,The Lord lives so that they might not rebuild this cellar in my time.,AP/apophthegmata.patrum_CONLLU/AP.017.n148.cellar.conllu,229,247
ⲧⲁⲣⲉⲧⲟⲓⲕⲟⲩⲙⲉⲛⲏ ⲧⲏⲣⲥ ⲉⲓⲙⲉ ϫⲉⲁⲩⲕⲏⲡⲏ ϩⲉ ϩⲛϣⲓⲏⲧ ⲉⲧⲃⲉ ⲟⲩⲁⲡⲟⲧ ⲛⲏⲣⲡ ⲻ,Let the whole oikoumene know that a cellar fell in Scetis because of a cup of wine.,AP/apophthegmata.patrum_CONLLU/AP.017.n148.cellar.conllu,252,276
ⲁϥⲃⲱⲕ ⲛⲟⲩⲟⲉⲓϣ ⲛϭⲓⲡⲉⲡⲣⲉⲥⲃⲩⲧⲉⲣⲟⲥ ⲛϣⲓⲏⲧ ϣⲁⲡⲁⲣⲭⲏⲉⲡⲓⲥⲕⲟⲡⲟⲥ ⲛⲣⲁⲕⲟⲧⲉ .,"He went once, that is the presbyter of Scetis, to the archbishop of Alexandria",AP/apophthegmata.patrum_CONLLU/AP.019.n161.presbyter.conllu,5,26
"ⲁⲩⲱ ⲛⲧⲉⲣⲉϥⲕⲧⲟϥ ⲉϣⲓⲏⲧ , ⲁⲩϫⲛⲟⲩϥ ⲛϭⲓⲛⲉⲥⲛⲏⲩ ϫⲉⲉⲣⲉⲧⲡⲟⲗⲓⲥⲣⲟⲩ .","and after he returned to Scetis, they asked him, that is the brothers, about news from the city.",AP/apophthegmata.patrum_CONLLU/AP.019.n161.presbyter.conllu,31,57
ⲛⲧⲟϥ ⲇⲉ ⲡⲉϫⲁϥ ⲛⲁⲩ ϫⲉⲫⲩⲥⲓ ⲛⲁⲥⲛⲏⲩ ⲁⲛⲟⲕ ⲙⲡⲓⲛⲁⲩ ⲉⲡϩⲟ ⲛⲗⲁⲁⲩ ⲛⲣⲱⲙⲉ ⲛⲥⲁⲡⲁⲣⲭⲏⲉⲡⲓⲥⲕⲟⲡⲟⲥ ⲙⲁⲩⲁⲁϥ,"But he told them: 'Naturally, my brothers, I have not seen the face of any man, except the archbishop alone.'",AP/apophthegmata.patrum_CONLLU/AP.019.n161.presbyter.conllu,62,97
"ⲛⲧⲟⲟⲩ ⲇⲉ ⲛⲧⲉⲣⲟⲩⲥⲱⲧⲙ ⲁⲩⲧⲁϫⲣⲟ ⲉⲧⲃⲉⲡϣⲁϫⲉ , ϫⲉⲉⲩⲉϩⲁⲣⲉϩ ⲉⲣⲟⲟⲩ ϩⲁⲃⲟⲗ ϩⲁⲡϫⲓϩⲣⲁϥ ⲛⲛⲃⲁⲗ .","After hearing him they became strengthened thanks to his story, that they should guard themselves against raising their eyes.",AP/apophthegmata.patrum_CONLLU/AP.019.n161.presbyter.conllu,102,133
ⲁϥϫⲟⲟⲥ ⲛϭⲓⲟⲩϩⲗⲗⲟ· ϫⲉϣⲁⲣⲉⲡⲇⲓⲁⲃⲟⲗⲟⲥ ⲟⲩⲱϩ ⲉϫⲛⲛϣⲱⲱⲧ ⲙⲡⲙⲟⲛⲁⲭⲟⲥ ⲉⲣϣⲁⲛⲟⲩⲧⲁⲁⲡⲥ ⲱⲥⲕ ⲛⲙⲙⲁϥ ·,"A monk said, 'The devil dwells in failings of the monk, if a habit endures within him.",AP/apophthegmata.patrum_CONLLU/AP.020.n373.failings.conllu,5,37
ϩⲓⲧⲛⲟⲩⲛⲟϭ ⲛⲟⲩⲟⲉⲓϣ ϣⲁⲥϫⲣⲟ ⲁⲩⲱ ⲛⲥϭⲙϭⲟⲙ ⲛⲧϩⲉ ⲛⲟⲩⲫⲩⲥⲓⲥ · ⲙⲁⲗⲓⲥⲧⲁ ⲛⲉⲧⲟ ⲛⲁⲙⲉⲗⲏⲥ ⲉⲡⲉϩⲟⲩⲟ .,"For a long time, it is strong and it persists like something natural, especially those who are very careless.",AP/apophthegmata.patrum_CONLLU/AP.020.n373.failings.conllu,42,79
ϭⲓⲛⲟⲩⲱⲙ ⲛⲓⲙ ⲉⲧⲉⲕⲛⲁϣⲓⲛⲉ ⲛⲥⲱⲟⲩ ⲛⲧϩⲏ ⲉⲥϫⲓⲟⲩⲱ ⲙⲡⲣⲧⲁⲁⲩ ⲛⲁⲥ · ⲙⲁⲗⲓⲥⲧⲁ ⲉⲕⲟⲩⲟϫ ⲉϣⲱⲛⲉ,"Do not give it any nourishing food that you will seek after, especially when you are free from illness.",AP/apophthegmata.patrum_CONLLU/AP.020.n373.failings.conllu,84,117
ⲁⲩⲱ ⲡⲉⲧⲉⲕⲛⲁⲉⲡⲓⲑⲩⲙⲉⲓ ⲉⲣⲟϥ ⲛⲛⲉⲕⲟⲩⲟⲙϥ,"And do not eat what you want,",AP/apophthegmata.patrum_CONLLU/AP.020.n373.failings.conllu,122,136
ⲉⲕⲉⲟⲩⲱⲙ ⲇⲉ ⲛⲛⲉⲛⲧⲁⲡⲛⲟⲩⲧⲉ ⲧⲛⲛⲟⲟⲩⲥⲟⲩ ⲛⲁⲕ ⲛⲅϣⲡϩⲙⲟⲧ ⲛⲧⲟⲟⲧϥ ⲛⲟⲩⲟⲉⲓϣ ⲛⲓⲙ ·,"but eat the things that God sends to you, and give thanks to him at all times.",AP/apophthegmata.patrum_CONLLU/AP.020.n373.failings.conllu,141,169
ⲁⲛϫⲟ ⲉⲃⲟⲗ ⲛⲛⲟⲉⲓⲕ ⲛⲙⲙⲟⲛⲁⲭⲟⲥ ⲙⲛⲡⲉⲩⲙⲧⲟⲛ ⲧⲏⲣϥ ·,We sent bread to the monks with every relief.,AP/apophthegmata.patrum_CONLLU/AP.020.n373.failings.conllu,174,194
ⲡϩⲱⲃ ⲇⲉ ⲛⲙⲙⲟⲛⲁⲭⲟⲥ ⲙⲡⲉⲛⲁⲁϥ,But we did not do the work of the monks.,AP/apophthegmata.patrum_CONLLU/AP.020.n373.failings.conllu,199,211
ⲁϫⲓⲥ ⲉⲣⲟⲕ ⲙⲁⲩⲁⲁⲕ ϫⲉⲡⲥⲟⲛ ⲕⲱ ⲛⲁⲕ ⲛⲧⲉⲥⲫⲣⲁⲅⲓⲥ ⲙⲡⲉⲭⲣⲓⲥⲧⲟⲥ · ⲉⲧⲉⲡⲁⲓ ⲡⲉ ⲡⲉⲑⲃⲃⲓⲟ ·,"Tell yourself, 'Brother, preserve the seal of Christ, which is humility.''",AP/apophthegmata.patrum_CONLLU/AP.020.n373.failings.conllu,216,249
ⲁⲟⲩⲁ ⲛⲛϩⲗⲗⲟ ⲃⲱⲕ ϣⲁⲕⲉϩⲗⲗⲟ · ⲁⲩⲱ ⲡⲉϫⲁϥ ⲙⲡⲉϥⲙⲁⲑⲏⲧⲏⲥ ϫⲉⲧⲁⲙⲓⲟ ⲛⲁⲛ ⲛⲟⲩⲕⲟⲩⲓ ⲛⲁⲣϣⲓⲛ ·,"One monk went to another monk, and he said to his disciple, 'Make a little bit of lentils for us.'",AP/apophthegmata.patrum_CONLLU/AP.021.n149.lentils.conllu,5,39
ⲁⲩⲱ ⲁϥⲧⲁⲙⲓⲟϥ ·,And he made them.,AP/apophthegmata.patrum_CONLLU/AP.021.n149.lentils.conllu,44,50
ⲡⲉϫⲁϥ ϫⲉϩⲉⲣⲡϩⲉⲛⲟⲉⲓⲕ ⲛⲁⲛ ⲁⲩⲱ ⲁϥϩⲟⲣⲡⲟⲩ,"He said, 'Wet some bread for us.' And he wet it.",AP/apophthegmata.patrum_CONLLU/AP.021.n149.lentils.conllu,55,71
ⲛⲧⲟⲟⲩ ⲇⲉ ⲁⲩⲙⲟⲩⲛ ⲉⲃⲟⲗ ⲉⲩϣⲁϫⲉ ⲉⲛⲉⲡⲛⲉⲩⲙⲁⲧⲓⲕⲟⲛ ⲙⲡⲉϩⲟⲟⲩ ⲧⲏⲣϥ ⲙⲛⲧⲟⲩϣⲏ ⲧⲏⲣⲥ,But they continued to talk about spiritual things all day and all night.,AP/apophthegmata.patrum_CONLLU/AP.021.n149.lentils.conllu,76,104
ⲛⲧⲟⲕ ⲇⲉ ⲛⲧⲕⲟⲩⲕⲱⲥⲙⲓⲕⲟⲛ ⲙⲛϭⲟⲙ ⲙⲙⲟⲕ · ⲉϣⲱⲡⲉ ⲙⲡⲉⲓⲙⲁ · ⲻ,"But you, you are of the world, and you have no power to be in this place.",AP/apophthegmata.patrum_CONLLU/AP.022.isaac-cells.08.conllu,11,32
ⲁϥϫⲟⲟⲥ ⲛϭⲓⲁⲡⲁ ⲕⲁⲥⲓⲁⲛⲟⲥ · ϫⲉⲁϥϫⲟⲟⲥ ⲛϭⲓⲟⲩⲁ ⲛⲛⲥⲩⲛⲕⲗⲏⲧⲓⲕⲟⲥ · ⲉⲁϥⲁⲡⲟⲧⲁⲥⲥⲉ ⲛⲛⲉϥⲭⲣⲏⲙⲁ ⲧⲏⲣⲟⲩ,"Apa Cassian said, 'A nobleman (senator?) said, after he renounced all his possessions,",AP/apophthegmata.patrum_CONLLU/AP.026.cassian.07.conllu,5,40
ⲁϥⲧⲁⲁⲩ ⲛⲛϩⲏⲕⲉ ·,he gave them to the poor.,AP/apophthegmata.patrum_CONLLU/AP.026.cassian.07.conllu,45,54
ⲁϥⲕⲁ ϩⲉⲛⲕⲟⲩⲓ ⲛⲁϥ ⲉⲧⲃⲉⲧⲉϥⲭⲣⲉⲓⲁ ⲙⲁⲩⲁⲁϥ ·,He set a little for himself because of his own needs.,AP/apophthegmata.patrum_CONLLU/AP.026.cassian.07.conllu,59,76
